A,k,func_values
1.3e-06,1256.6371,9975.745
1.3e-06,1413.7167,9990.693
1.3e-06,1570.7964,10001.499
1.3e-06,1727.8761,10007.406
1.3e-06,1884.9557,10009.219
1.3e-06,2042.0353,10006.906
1.3e-06,2199.115,10002.547
1.3e-06,2356.1946,9997.668
1.3e-06,2513.2742,9994.692
1.4e-06,157.07964,10064.803
1.4e-06,314.15927,10043.519
1.4e-06,471.23892,10015.932
1.4e-06,628.31854,9989.282
1.4e-06,785.3982,9970.656
1.4e-06,942.47784,9965.112
1.4e-06,1099.5575,9968.526
1.4e-06,1256.6371,9973.359
1.4e-06,1413.7167,9988.223
1.4e-06,1570.7964,10002.523
1.4e-06,1727.8761,10008.21
1.4e-06,1884.9557,10010.218
1.4e-06,2042.0353,10007.703
1.4e-06,2199.115,10002.889
1.4e-06,2356.1946,9997.629
1.4e-06,2513.2742,9994.409
1.4999999e-06,157.07964,10070.9375
1.4999999e-06,314.15927,10049.088
1.4999999e-06,471.23892,10017.895
1.4999999e-06,628.31854,9989.084
1.4999999e-06,785.3982,9969.003
1.4999999e-06,942.47784,9962.467
1.4999999e-06,1099.5575,9965.671
1.4999999e-06,1256.6371,9971.571
1.4999999e-06,1413.7167,9986.395
1.4999999e-06,1570.7964,10001.596
1.4999999e-06,1727.8761,10009.697
1.4999999e-06,1884.9557,10011.38
1.4999999e-06,2042.0353,10008.544
1.4999999e-06,2199.115,10003.253
1.4999999e-06,2356.1946,9997.692
1.4999999e-06,2513.2742,9994.19
1.6e-06,157.07964,10077.516
1.6e-06,314.15927,10053.939
1.6e-06,471.23892,10019.89
1.6e-06,628.31854,9985.956
1.6e-06,785.3982,9967.448
1.6e-06,942.47784,9959.64
1.6e-06,1099.5575,9962.722
1.6e-06,1256.6371,9969.451
1.6e-06,1413.7167,9984.614
1.6e-06,1570.7964,10000.873
1.6e-06,1727.8761,10012.206
1.6e-06,1884.9557,10012.636
1.6e-06,2042.0353,10009.399
1.6e-06,2199.115,10003.687
1.6e-06,2356.1946,9997.831
1.6e-06,2513.2742,9994.0625
1.7e-06,157.07964,10083.144
1.7e-06,314.15927,10058.19
1.7e-06,471.23892,10022.533
1.7e-06,628.31854,9984.271
1.7e-06,785.3982,9965.241
1.7e-06,942.47784,9957.41
1.7e-06,1099.5575,9959.773
1.7e-06,1256.6371,9967.436
1.7e-06,1413.7167,9983.279
1.7e-06,1570.7964,10000.048
1.7e-06,1727.8761,10012.421
1.7e-06,1884.9557,10016.815
1.7e-06,2042.0353,10010.651
1.7e-06,2199.115,10004.234
1.7e-06,2356.1946,9997.923
1.7e-06,2513.2742,9993.843
1.8e-06,157.07964,10088.249
1.8e-06,314.15927,10062.054
1.8e-06,471.23892,10024.675
1.8e-06,628.31854,9982.265
1.8e-06,785.3982,9963.491
1.8e-06,942.47784,9954.665
1.8e-06,1099.5575,9956.541
1.8e-06,1256.6371,9965.444
1.8e-06,1413.7167,9981.412
1.8e-06,1570.7964,9999.588
1.8e-06,1727.8761,10012.831
1.8e-06,1884.9557,10018.529
1.8e-06,2042.0353,10013.812
1.8e-06,2199.115,10005.126
1.8e-06,2356.1946,9998.021
1.8e-06,2513.2742,9993.482
1.9e-06,157.07964,10093.603
1.9e-06,314.15927,10066.546
1.9e-06,471.23892,10026.676
1.9e-06,628.31854,9982.323
1.9e-06,785.3982,9961.687
1.9e-06,942.47784,9951.923
1.9e-06,1099.5575,9953.55
1.9e-06,1256.6371,9963.297
1.9e-06,1413.7167,9979.946
1.9e-06,1570.7964,9998.728
1.9e-06,1727.8761,10013.498
1.9e-06,1884.9557,10019.648
1.9e-06,2042.0353,10016.718
1.9e-06,2199.115,10006.132
1.9e-06,2356.1946,9998.022
1.9e-06,2513.2742,9993.37
2e-06,157.07964,10099.433
2e-06,314.15927,10071.37
2e-06,471.23892,10030.115
2e-06,628.31854,9984.74
2e-06,785.3982,9959.608
2e-06,942.47784,9949.284
2e-06,1099.5575,9950.898
2e-06,1256.6371,9961.104
2e-06,1413.7167,9978.584
2e-06,1570.7964,9998.233
2e-06,1727.8761,10013.542
2e-06,1884.9557,10020.575
2e-06,2042.0353,10017.908
2e-06,2199.115,10009.507
2e-06,2356.1946,9998.454
2e-06,2513.2742,9993.198
2.1e-06,157.07964,10104.991
2.1e-06,314.15927,10075.305
2.1e-06,471.23892,10033.548
2.1e-06,628.31854,9985.544
2.1e-06,785.3982,9957.167
2.1e-06,942.47784,9946.194
2.1e-06,1099.5575,9947.843
