A,k,func_values
0.000120000004,1256.6371,8180.699
0.000120000004,1413.7167,9308.089
0.000120000004,1570.7964,10466.522
0.000120000004,1727.8761,11301.565
0.000120000004,1884.9557,11609.849
0.000120000004,2042.0353,11411.492
0.000120000004,2199.115,10903.886
0.000120000004,2356.1946,10342.307
0.000120000004,2513.2742,9916.341
0.00013,157.07964,18457.32
0.00013,314.15927,15936.081
0.00013,471.23892,12816.831
0.00013,628.31854,10018.238
0.00013,785.3982,8110.9272
0.00013,942.47784,7226.1064
0.00013,1099.5575,7273.457
0.00013,1256.6371,8050.445
0.00013,1413.7167,9265.424
0.00013,1570.7964,10518.913
0.00013,1727.8761,11423.12
0.00013,1884.9557,11755.312
0.00013,2042.0353,11538.213
0.00013,2199.115,10983.744
0.00013,2356.1946,10372.079
0.00013,2513.2742,9908.972
0.00014,157.07964,19237.062
0.00014,314.15927,16458.713
0.00014,471.23892,13051.703
0.00014,628.31854,10020.914
0.00014,785.3982,7975.888
0.00014,942.47784,7036.2397
0.00014,1099.5575,7091.466
0.00014,1256.6371,7924.825
0.00014,1413.7167,9223.124
0.00014,1570.7964,10573.536
0.00014,1727.8761,11546.648
0.00014,1884.9557,11904.169
0.00014,2042.0353,11665.063
0.00014,2199.115,11064.404
0.00014,2356.1946,10402.846
0.00014,2513.2742,9903.087
0.00015,157.07964,20049.7
0.00015,314.15927,16995.732
0.00015,471.23892,13286.643
0.00015,628.31854,10026.04
0.00015,785.3982,7843.3984
0.00015,942.47784,6851.5586
0.00015,1099.5575,6912.1577
0.00015,1256.6371,7798.785
0.00015,1413.7167,9184.944
0.00015,1570.7964,10628.287
0.00015,1727.8761,11672.463
0.00015,1884.9557,12053.435
0.00015,2042.0353,11793.511
0.00015,2199.115,11145.217
0.00015,2356.1946,10434.054
0.00015,2513.2742,9897.276
0.00016000001,157.07964,20869.264
0.00016000001,314.15927,17546.568
0.00016000001,471.23892,13527.155
0.00016000001,628.31854,10028.65
0.00016000001,785.3982,7711.927
0.00016000001,942.47784,6670.8438
0.00016000001,1099.5575,6738.73
0.00016000001,1256.6371,7676.4194
0.00016000001,1413.7167,9147.678
0.00016000001,1570.7964,10684.366
0.00016000001,1727.8761,11800.643
0.00016000001,1884.9557,12203.96
0.00016000001,2042.0353,11922.034
0.00016000001,2199.115,11226.37
0.00016000001,2356.1946,10464.672
0.00016000001,2513.2742,9893.116
0.00017000001,157.07964,21697.236
0.00017000001,314.15927,18095.521
0.00017000001,471.23892,13769.927
0.00017000001,628.31854,10032.801
0.00017000001,785.3982,7582.634
0.00017000001,942.47784,6497.632
0.00017000001,1099.5575,6570.0894
0.00017000001,1256.6371,7558.2886
0.00017000001,1413.7167,9113.237
0.00017000001,1570.7964,10743.995
0.00017000001,1727.8761,11930.176
0.00017000001,1884.9557,12356.835
0.00017000001,2042.0353,12052.843
0.00017000001,2199.115,11308.873
0.00017000001,2356.1946,10494.67
0.00017000001,2513.2742,9886.958
0.00018,157.07964,22531.693
0.00018,314.15927,18679.62
0.00018,471.23892,14014.65
0.00018,628.31854,10038.364
0.00018,785.3982,7454.4727
0.00018,942.47784,6323.7554
0.00018,1099.5575,6406.3125
0.00018,1256.6371,7443.527
0.00018,1413.7167,9083.519
0.00018,1570.7964,10803.989
0.00018,1727.8761,12060.548
0.00018,1884.9557,12511.688
0.00018,2042.0353,12183.372
0.00018,2199.115,11391.367
0.00018,2356.1946,10526.278
0.00018,2513.2742,9881.041
0.00019,157.07964,23367.027
0.00019,314.15927,19260.268
0.00019,471.23892,14268.789
0.00019,628.31854,10043.94
0.00019,785.3982,7327.036
0.00019,942.47784,6153.1963
0.00019,1099.5575,6244.789
0.00019,1256.6371,7330.5405
0.00019,1413.7167,9054.371
0.00019,1570.7964,10866.658
0.00019,1727.8761,12194.536
0.00019,1884.9557,12668.163
0.00019,2042.0353,12316.761
0.00019,2199.115,11473.487
0.00019,2356.1946,10557.154
0.00019,2513.2742,9875.499
0.00020000001,157.07964,24243.072
0.00020000001,314.15927,19850.797
0.00020000001,471.23892,14522.185
0.00020000001,628.31854,10047.042
0.00020000001,785.3982,7201.427
0.00020000001,942.47784,5985.7007
0.00020000001,1099.5575,6087.5728
0.00020000001,1256.6371,7224.6343
0.00020000001,1413.7167,9026.417
0.00020000001,1570.7964,10931.692
0.00020000001,1727.8761,12328.248
0.00020000001,1884.9557,12827.22
0.00020000001,2042.0353,12450.308
0.00020000001,2199.115,11557.0205
0.00020000001,2356.1946,10588.035
0.00020000001,2513.2742,9870.685
0.00021000001,157.07964,25121.451
0.00021000001,314.15927,20445.152
0.00021000001,471.23892,14774.526
0.00021000001,628.31854,10053.383
0.00021000001,785.3982,7077.5117
0.00021000001,942.47784,5820.265
0.00021000001,1099.5575,5933.348
0.00021000001,1256.6371,7119.724
0.00021000001,1413.7167,9000.335
0.00021000001,1570.7964,10997.474
0.00021000001,1727.8761,12465.036
0.00021000001,1884.9557,12985.366
0.00021000001,2042.0353,12586.029
0.00021000001,2199.115,11640.478
0.00021000001,2356.1946,10620.664
0.00021000001,2513.2742,9863.767
0.00022000002,157.07964,26029.467
0.00022000002,314.15927,21028.91
0.00022000002,471.23892,15031.981
0.00022000002,628.31854,10059.401
0.00022000002,785.3982,6955.099
0.00022000002,942.47784,5659.2085
0.00022000002,1099.5575,5783.237
0.00022000002,1256.6371,7016.639
0.00022000002,1413.7167,8976.82
0.00022000002,1570.7964,11065.179
0.00022000002,1727.8761,12604.424
0.00022000002,1884.9557,13147.609
0.00022000002,2042.0353,12721.197
0.00022000002,2199.115,11725.726
0.00022000002,2356.1946,10651.647
0.00022000002,2513.2742,9858.997
0.00023,157.07964,26982.693
0.00023,314.15927,21625.553
0.00023,471.23892,15295.8955
0.00023,628.31854,10063.006
0.00023,785.3982,6834.5093
0.00023,942.47784,5503.1997
0.00023,1099.5575,5638.3813
0.00023,1256.6371,6915.597
0.00023,1413.7167,8954.905
0.00023,1570.7964,11138.465
0.00023,1727.8761,12744.807
0.00023,1884.9557,13310.612
0.00023,2042.0353,12858.8
0.00023,2199.115,11810.182
0.00023,2356.1946,10684.483
0.00023,2513.2742,9853.542
0.00024000001,157.07964,27938.156
0.00024000001,314.15927,22256.13
0.00024000001,471.23892,15562.495
0.00024000001,628.31854,10069.874
0.00024000001,785.3982,6715.023
0.00024000001,942.47784,5347.902
0.00024000001,1099.5575,5498.879
0.00024000001,1256.6371,6819.7065
0.00024000001,1413.7167,8937.139
0.00024000001,1570.7964,11210.119
0.00024000001,1727.8761,12887.405
0.00024000001,1884.9557,13476.125
0.00024000001,2042.0353,12997.16
0.00024000001,2199.115,11894.826
0.00024000001,2356.1946,10716.836
0.00024000001,2513.2742,9849.156
0.00025,157.07964,28895.53
0.00025,314.15927,22877.295
0.00025,471.23892,15830.4375
0.00025,628.31854,10075.635
0.00025,785.3982,6597.0977
