A,grad
0.001,-2468195300.0
0.007102041,35042107000.0
0.013204082,-2575919900.0
0.019306121,34596413000.0
0.025408164,3399585500.0
0.031510204,26325856000.0
0.037612244,-21162031000.0
0.04371429,-1427960800.0
0.049816325,52130877000.0
0.055918366,9860658000.0
0.06202041,-27974455000.0
0.06812245,9057107000.0
0.07422449,11396122000.0
0.08032653,-7966176000.0
0.086428575,11617778000.0
0.092530616,-2564541700.0
0.098632656,1722953200.0
0.10473469,8602130000.0
0.11083673,4526121000.0
0.11693878,-4857332000.0
0.12304082,-12784301000.0
0.12914285,-63547760000.0
0.13524489,14459129000.0
0.14134695,49965340000.0
0.14744897,-11464454000.0
0.15355103,-43787030000.0
0.15965305,-4178417400.0
0.16575511,126497110000.0
0.17185715,14110437000.0
0.17795917,23189584000.0
0.18406123,-13479133000.0
0.19016325,72099550000.0
0.19626531,-28669549000.0
0.20236735,-10308317000.0
0.20846939,14018409000.0
0.21457143,17655499000.0
0.22067346,40166010000.0
0.22677551,4200533500.0
0.23287755,-12896652000.0
0.2389796,-12073295000.0
0.24508163,-13810756000.0
0.25118366,7570031000.0
0.25728568,39500153000.0
0.26338777,11924460000.0
0.2694898,29905146000.0
0.27559182,12487073000.0
0.28169388,1303336800.0
0.28779593,-24409227000.0
0.29389796,-7234551300.0
0.3,14997559000.0

